rank,title,subject,link
8.9,情书,暗恋的极致。,https://movie.douban.com/subject/1292220/
9.1,两杆大烟枪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
8.9,西西里的美丽传说,美丽无罪。,https://movie.douban.com/subject/1292402/
8.8,看不见的客人,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
9.1,拯救大兵瑞恩,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
9.1,音乐之声,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
9.1,飞越疯人院,自由万岁。,https://movie.douban.com/subject/1292224/
9.2,小鞋子,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
8.8,阿凡达,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
8.9,哈利·波特与死亡圣器(下),10年的完美句点。,https://movie.douban.com/subject/3011235/
8.9,沉默的羔羊,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
9.3,海豚湾,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
8.9,致命魔术,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
8.8,禁闭岛,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
8.9,布达佩斯大饭店,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
8.8,蝴蝶效应,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
9.2,美国往事,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
8.9,心灵捕手,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
8.9,低俗小说,故事的高级讲法。,https://movie.douban.com/subject/1291832/
9.0,春光乍泄,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
9.3,摩登时代,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
8.8,七宗罪,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
8.8,喜剧之王,我是一个演员。,https://movie.douban.com/subject/1302425/
8.8,致命ID,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
8.9,杀人回忆,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
8.7,功夫,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
9.0,超脱,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
8.9,哈利·波特与阿兹卡班的囚徒,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/
8.8,加勒比海盗,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
9.1,红辣椒,梦的勾结。,https://movie.douban.com/subject/1865703/
8.9,被嫌弃的松子的一生,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
9.1,狩猎,人言可畏。,https://movie.douban.com/subject/6985810/
8.9,请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
8.9,7号房的礼物,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
8.7,剪刀手爱德华,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
8.8,断背山,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
8.9,勇敢的心,史诗大片的典范。,https://movie.douban.com/subject/1294639/
8.7,唐伯虎点秋香,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
8.9,入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
8.9,第六感,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
8.8,哈利·波特与密室,魔法的密室之门已打开...,https://movie.douban.com/subject/1296996/
